Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
AR Bawne,1,-,-,-,-,-,-,-,-,-,-,-,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
VR Aaron,6,6,20,0,163,7,2/3,23.28,8.15,17.1,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
AD Nath,1,-,-,-,-,-,-,-,-,-,-,-,0,0
(Gujarat Lions),,,,,,,,,,,,,,
MA Agarwal,3,-,-,-,-,-,-,-,-,-,-,-,1,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
SS Agarwal,1,1,4,0,42,1,1/42,42,10.5,24,0,0,1,0
(Gujarat Lions),,,,,,,,,,,,,,
HM Amla,10,-,-,-,-,-,-,-,-,-,-,-,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
CJ Anderson,11,8,18.5,0,186,3,1/23,62,9.87,37.6,0,0,5,0
(Delhi Daredevils),,,,,,,,,,,,,,
Ankit Sharma,1,1,1,0,16,0,-,-,16,-,0,0,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
Ankit Soni,7,6,18.1,0,144,2,1/16,72,7.92,54.5,0,0,1,0
(Gujarat Lions),,,,,,,,,,,,,,
Anureet Singh,1,1,2,0,26,0,-,-,13,-,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
S Aravind,10,10,30.3,0,275,5,2/29,55,9.01,36.6,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Avesh Khan,1,1,4,0,23,1,1/23,23,5.75,24,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
S Badree,7,7,25,1,188,9,4/9,20.88,7.52,16.6,1,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Basil Thampi,12,12,44.4,0,424,11,3/29,38.54,9.49,24.3,0,0,2,0
(Gujarat Lions),,,,,,,,,,,,,,
R Bhatia,3,3,7,0,55,2,2/14,27.5,7.85,21,0,0,2,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
SW Billings,6,-,-,-,-,-,-,-,-,-,-,-,4,0
(Delhi Daredevils),,,,,,,,,,,,,,
STR Binny,8,4,6,0,50,4,1/9,12.5,8.33,9,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Bipul Sharma,7,7,16.2,0,129,3,1/4,43,7.89,32.6,0,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
TA Boult,6,6,23.5,0,216,5,2/30,43.2,9.06,28.6,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
CR Brathwaite,2,2,6,0,67,1,1/38,67,11.16,36,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
DM Bravo,1,-,-,-,-,-,-,-,-,-,-,-,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
JJ Bumrah,16,16,59.2,2,440,20,3/7,22,7.41,17.8,0,0,2,0
(Mumbai Indians),,,,,,,,,,,,,,
JC Buttler,10,-,-,-,-,-,-,-,-,-,-,-,1,0
(Mumbai Indians),,,,,,,,,,,,,,
KC Cariappa,4,4,15,0,127,4,2/24,31.75,8.46,22.5,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
YS Chahal,13,13,43.3,0,333,14,3/16,23.78,7.65,18.6,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
DL Chahar,3,3,7,0,74,1,1/35,74,10.57,42,0,0,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
RD Chahar,3,2,7,0,58,2,1/26,29,8.28,21,0,0,1,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
PP Chawla,6,6,20,0,179,6,2/34,29.83,8.95,20,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
A Choudhary,5,5,16.5,2,144,5,2/17,28.8,8.55,20.2,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
DT Christian,13,13,40,0,298,11,2/10,27.09,7.45,21.8,0,0,6,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
NM Coulter-Nile,8,8,28.2,0,228,15,3/20,15.2,8.04,11.3,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
PJ Cummins,12,12,46.1,0,373,15,2/20,24.86,8.07,18.4,0,0,1,0
(Delhi Daredevils),,,,,,,,,,,,,,
BCJ Cutting,4,4,12.4,0,123,1,1/41,123,9.71,76,0,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
C de Grandhomme,12,9,16,0,135,4,3/4,33.75,8.43,24,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
AB de Villiers,9,-,-,-,-,-,-,-,-,-,-,-,6,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
S Dhawan,14,-,-,-,-,-,-,-,-,-,-,-,7,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
MS Dhoni,16,-,-,-,-,-,-,-,-,-,-,-,10,3
(Rising Pune Supergiant),,,,,,,,,,,,,,
AB Dinda,3,3,10,0,119,1,1/26,119,11.9,60,0,0,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
F du Plessis,2,-,-,-,-,-,-,-,-,-,-,-,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
JP Faulkner,8,8,26.2,0,258,6,2/34,43,9.79,26.3,0,0,3,0
(Gujarat Lions),,,,,,,,,,,,,,
LH Ferguson,4,4,13,1,93,3,2/7,31,7.15,26,0,0,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
AJ Finch,13,-,-,-,-,-,-,-,-,-,-,-,5,0
(Gujarat Lions),,,,,,,,,,,,,,
G Gambhir,16,-,-,-,-,-,-,-,-,-,-,-,6,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
CH Gayle,9,-,-,-,-,-,-,-,-,-,-,-,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MS Gony,1,1,2,0,32,0,-,-,16,-,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,,
MJ Guptill,7,-,-,-,-,-,-,-,-,-,-,-,6,0
(Kings XI Punjab),,,,,,,,,,,,,,
Gurkeerat Singh,2,-,-,-,-,-,-,-,-,-,-,-,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
Harbhajan Singh,11,11,41,0,266,8,3/22,33.25,6.48,30.7,0,0,2,0
(Mumbai Indians),,,,,,,,,,,,,,
TM Head,7,5,8,0,81,2,2/30,40.5,10.12,24,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MC Henriques,12,12,24,0,248,1,1/6,248,10.33,144,0,0,5,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
MJ Henry,2,2,5,0,71,1,1/31,71,14.2,30,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
DJ Hooda,10,3,4,0,42,2,1/7,21,10.5,12,0,0,5,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Imran Tahir,12,12,47,0,369,18,3/18,20.5,7.85,15.6,0,0,2,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
Iqbal Abdulla,2,2,5,0,55,2,2/36,27.5,11,15,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Ishan Kishan,11,-,-,-,-,-,-,-,-,-,-,-,3,0
(Gujarat Lions),,,,,,,,,,,,,,
SS Iyer,12,-,-,-,-,-,-,-,-,-,-,-,3,0
(Delhi Daredevils),,,,,,,,,,,,,,
SP Jackson,4,-,-,-,-,-,-,-,-,-,-,-,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
RA Jadeja,12,12,38,0,349,5,2/28,69.8,9.18,45.6,0,0,2,0
(Gujarat Lions),,,,,,,,,,,,,,
KM Jadhav,13,-,-,-,-,-,-,-,-,-,-,-,7,3
(Royal Challengers Bangalore),,,,,,,,,,,,,,
IR Jaggi,2,-,-,-,-,-,-,-,-,-,-,-,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
SB Jakati,2,2,5,0,52,0,-,-,10.4,-,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,,
MG Johnson,5,5,20,1,141,7,3/26,20.14,7.05,17.1,0,0,1,0
(Mumbai Indians),,,,,,,,,,,,,,
CJ Jordan,1,1,1,0,9,1,1/9,9,9,6,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
KD Karthik,14,-,-,-,-,-,-,-,-,-,-,-,8,0
(Gujarat Lions),,,,,,,,,,,,,,
S Kaul,10,10,35.4,0,300,16,4/29,18.75,8.41,13.3,1,0,3,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
S Kaushik,3,3,11,0,105,0,-,-,9.54,-,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,,
Z Khan,11,11,40.1,0,313,10,3/20,31.3,7.79,24.1,0,0,4,0
(Delhi Daredevils),,,,,,,,,,,,,,
V Kohli,10,-,-,-,-,-,-,-,-,-,-,-,5,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Kuldeep Yadav,12,11,41,0,340,12,2/25,28.33,8.29,20.5,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
DS Kulkarni,6,6,18.5,0,173,3,1/24,57.66,9.18,37.6,0,0,1,0
(Gujarat Lions),,,,,,,,,,,,,,
B Kumar,14,14,52.2,0,369,26,5/19,14.19,7.05,12,0,1,4,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
P Kumar,6,6,16.3,0,151,6,2/22,25.16,9.15,16.5,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,,
CA Lynn,7,-,-,-,-,-,-,-,-,-,-,-,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
MJ McClenaghan,14,14,54,0,507,19,3/24,26.68,9.38,17,0,0,1,0
(Mumbai Indians),,,,,,,,,,,,,,
BB McCullum,11,-,-,-,-,-,-,-,-,-,-,-,8,0
(Gujarat Lions),,,,,,,,,,,,,,
SL Malinga,12,12,44.5,0,382,11,2/5,34.72,8.52,24.4,0,0,1,0
(Mumbai Indians),,,,,,,,,,,,,,
Mandeep Singh,11,-,-,-,-,-,-,-,-,-,-,-,6,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
SE Marsh,9,-,-,-,-,-,-,-,-,-,-,-,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
AD Mathews,3,2,5,0,56,0,-,-,11.2,-,0,0,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
GJ Maxwell,14,8,19,0,125,7,2/15,17.85,6.57,16.2,0,0,7,0
(Kings XI Punjab),,,,,,,,,,,,,,
DA Miller,5,-,-,-,-,-,-,-,-,-,-,-,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
TS Mills,5,5,17.5,0,153,5,2/31,30.6,8.57,21.4,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
